Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
-3.85E-10,11,11
-3.84E-10,12,21
-3.83E-10,10,10
-3.83E-10,12,14
-3.82E-10,11,18
-3.81E-10,9,21
-3.80E-10,13,17
-3.79E-10,15,19
-3.79E-10,9,7
-3.78E-10,16,15
-3.77E-10,14,24
-3.76E-10,19,13
-3.75E-10,6,14
-3.74E-10,13,12
-3.74E-10,7,17
-3.73E-10,13,9
-3.72E-10,6,11
-3.71E-10,9,12
-3.70E-10,10,12
-3.70E-10,9,17
-3.69E-10,11,16
-3.68E-10,12,15
-3.67E-10,12,15
-3.66E-10,16,12
-3.65E-10,7,11
-3.65E-10,13,19
-3.64E-10,8,12
-3.63E-10,10,9
-3.62E-10,13,22
-3.61E-10,8,15
-3.61E-10,9,14
-3.60E-10,15,19
-3.59E-10,9,15
-3.58E-10,7,20
-3.57E-10,15,16
-3.57E-10,11,21
-3.56E-10,14,14
-3.55E-10,12,11
-3.54E-10,7,15
-3.53E-10,15,12
-3.52E-10,9,14
-3.52E-10,7,6
-3.51E-10,9,8
-3.50E-10,15,11
-3.49E-10,10,16
-3.48E-10,13,14
-3.48E-10,12,13
-3.47E-10,10,13
-3.46E-10,19,15
-3.45E-10,12,14
-3.44E-10,13,16
-3.43E-10,11,14
-3.43E-10,13,16
-3.42E-10,8,16
-3.41E-10,12,13
-3.40E-10,12,12
-3.39E-10,5,13
-3.39E-10,6,21
-3.38E-10,12,14
-3.37E-10,11,20
-3.36E-10,9,16
-3.35E-10,7,16
-3.35E-10,7,12
-3.34E-10,9,7
-3.33E-10,10,12
-3.32E-10,17,17
-3.31E-10,9,14
-3.30E-10,9,12
-3.30E-10,8,11
-3.29E-10,15,22
-3.28E-10,8,21
-3.27E-10,8,19
-3.26E-10,13,16
-3.26E-10,12,13
-3.25E-10,9,13
-3.24E-10,11,18
-3.23E-10,10,17
-3.22E-10,9,15
-3.22E-10,12,10
-3.21E-10,6,14
-3.20E-10,11,10
-3.19E-10,12,14
-3.18E-10,10,11
-3.17E-10,18,9
-3.17E-10,7,10
-3.16E-10,10,16
-3.15E-10,6,13
-3.14E-10,8,23
-3.13E-10,14,17
-3.13E-10,14,17
-3.12E-10,9,18
-3.11E-10,10,12
-3.10E-10,20,12
-3.09E-10,11,16
-3.08E-10,6,17
-3.08E-10,12,9
-3.07E-10,12,19
-3.06E-10,14,14
-3.05E-10,20,15
-3.04E-10,8,18
-3.04E-10,17,16
-3.03E-10,14,13
-3.02E-10,12,19
-3.01E-10,14,19
-3.00E-10,16,10
-3.00E-10,8,17
-2.99E-10,7,20
-2.98E-10,5,11
-2.97E-10,17,11
-2.96E-10,9,8
-2.95E-10,8,12
-2.95E-10,13,20
-2.94E-10,8,13
-2.93E-10,10,13
-2.92E-10,5,8
-2.91E-10,14,11
-2.91E-10,5,14
-2.90E-10,5,18
-2.89E-10,13,16
-2.88E-10,8,14
-2.87E-10,9,17
-2.86E-10,12,16
-2.86E-10,8,13
-2.85E-10,10,13
-2.84E-10,12,20
-2.83E-10,6,13
-2.82E-10,13,7
-2.82E-10,7,21
-2.81E-10,16,13
-2.80E-10,10,7
-2.79E-10,10,11
-2.78E-10,11,17
-2.78E-10,12,13
-2.77E-10,4,15
-2.76E-10,11,22
-2.75E-10,8,11
-2.74E-10,8,16
-2.73E-10,7,12
-2.73E-10,7,14
-2.72E-10,10,11
-2.71E-10,13,11
-2.70E-10,10,7
-2.69E-10,15,12
-2.69E-10,8,14
-2.68E-10,11,17
-2.67E-10,18,12
-2.66E-10,13,12
-2.65E-10,17,11
-2.65E-10,8,9
-2.64E-10,12,13
-2.63E-10,8,18
-2.62E-10,11,22
-2.61E-10,12,8
-2.60E-10,11,18
-2.60E-10,9,12
-2.59E-10,16,20
-2.58E-10,12,21
-2.57E-10,7,15
-2.56E-10,9,23
-2.56E-10,15,18
-2.55E-10,16,14
-2.54E-10,11,9
-2.53E-10,11,9
-2.52E-10,9,21
-2.51E-10,7,12
-2.51E-10,11,16
-2.50E-10,10,15
-2.49E-10,9,13
-2.48E-10,6,12
-2.47E-10,12,20
-2.47E-10,10,18
-2.46E-10,10,13
-2.45E-10,10,18
-2.44E-10,8,14
-2.43E-10,13,22
-2.43E-10,9,17
-2.42E-10,9,11
-2.41E-10,7,12
-2.40E-10,9,18
-2.39E-10,12,18
-2.38E-10,14,15
-2.38E-10,11,12
-2.37E-10,9,13
-2.36E-10,3,16
-2.35E-10,5,14
-2.34E-10,10,20
-2.34E-10,12,13
-2.33E-10,6,23
-2.32E-10,17,13
-2.31E-10,14,19
-2.30E-10,11,16
-2.29E-10,10,23
-2.29E-10,19,22
-2.28E-10,14,14
-2.27E-10,12,11
-2.26E-10,12,12
-2.25E-10,9,15
-2.25E-10,8,19
-2.24E-10,11,16
-2.23E-10,13,15
-2.22E-10,16,18
-2.21E-10,12,16
-2.21E-10,6,18
-2.20E-10,14,15
-2.19E-10,13,11
-2.18E-10,5,10
-2.17E-10,7,18
-2.16E-10,11,10
-2.16E-10,14,13
-2.15E-10,13,14
-2.14E-10,10,19
-2.13E-10,10,11
-2.12E-10,10,12
-2.12E-10,11,15
-2.11E-10,6,14
-2.10E-10,11,13
-2.09E-10,19,20
-2.08E-10,15,10
-2.08E-10,13,16
-2.07E-10,17,12
-2.06E-10,15,19
-2.05E-10,12,17
-2.04E-10,15,29
-2.03E-10,11,9
-2.03E-10,6,14
-2.02E-10,10,13
-2.01E-10,6,23
-2.00E-10,15,12
-1.99E-10,15,10
-1.99E-10,13,10
-1.98E-10,12,8
-1.97E-10,11,16
-1.96E-10,9,17
-1.95E-10,13,17
